speed[m/s] acceleration[m/s2] time[sec] instant_fuel[L/h]
0.0 0.0 1 1.35 
0.0 0.0 2 1.35 
0.0 0.0 3 1.35 
0.0 0.0 5 1.35 
2.4879785963249503 2.4879785963249503 6 8.149036918100084 
4.975957192649901 2.4879785963249503 7 14.96004940559019 
7.463935788974851 2.4879785963249503 8 21.79501303186035 
9.951914385299801 2.4879785963249503 9 28.66590336630057 
12.439892981624752 2.4879785963249503 10 35.58469597830089 
13.774983786384405 2.4879785963249503 11 39.32135970278096 
13.774983786384405 0.0 12 10.883170697475306 
13.774983786384405 0.0 13 10.883170697475306 
13.774983786384405 0.0 14 10.883170697475306 
13.774983786384405 0.0 15 10.883170697475306 
13.774983786384405 0.0 16 10.883170697475306 
13.774983786384405 0.0 17 10.883170697475306 
13.774983786384405 0.0 18 10.883170697475306 
13.774983786384405 0.0 19 10.883170697475306 
13.774983786384405 0.0 20 10.883170697475306 
13.774983786384405 0.0 21 10.883170697475306 
13.774983786384405 0.0 22 10.883170697475306 
13.774983786384405 0.0 23 10.883170697475306 
13.774983786384405 0.0 24 10.883170697475306 
13.774983786384405 0.0 25 10.883170697475306 
13.774983786384405 0.0 26 10.883170697475306 
13.774983786384405 0.0 27 10.883170697475306 
0.0 0.0 30 1.35 
2.4879785963249503 2.4879785963249503 31 8.149036918100084 
4.975957192649901 2.4879785963249503 32 14.96004940559019 
7.463935788974851 2.4879785963249503 33 21.79501303186035 
9.951914385299801 2.4879785963249503 34 28.66590336630057 
12.439892981624752 2.4879785963249503 35 35.58469597830089 
13.774983786384405 2.4879785963249503 36 39.32135970278096 
13.774983786384405 0.0 37 10.883170697475306 
13.774983786384405 0.0 38 10.883170697475306 
13.774983786384405 0.0 39 10.883170697475306 
13.774983786384405 0.0 40 10.883170697475306 
13.774983786384405 0.0 41 10.883170697475306 
13.774983786384405 0.0 42 10.883170697475306 
13.774983786384405 0.0 43 10.883170697475306 
13.774983786384405 0.0 44 10.883170697475306 
13.774983786384405 0.0 45 10.883170697475306 
13.774983786384405 0.0 46 10.883170697475306 
13.774983786384405 0.0 47 10.883170697475306 
13.774983786384405 0.0 48 10.883170697475306 
13.774983786384405 0.0 49 10.883170697475306 
13.774983786384405 0.0 50 10.883170697475306 
13.774983786384405 0.0 51 10.883170697475306 
13.774983786384405 0.0 52 10.883170697475306 
0.0 0.0 53 1.35 
2.4879785963249503 2.4879785963249503 54 8.149036918100084 
4.975957192649901 2.4879785963249503 55 14.96004940559019 
7.463935788974851 2.4879785963249503 56 21.79501303186035 
9.951914385299801 2.4879785963249503 57 28.66590336630057 
12.439892981624752 2.4879785963249503 58 35.58469597830089 
13.774983786384405 2.4879785963249503 59 39.32135970278096 
13.774983786384405 0.0 60 10.883170697475306 
13.774983786384405 0.0 61 10.883170697475306 
13.774983786384405 0.0 62 10.883170697475306 
13.774983786384405 0.0 63 10.883170697475306 
13.774983786384405 0.0 64 10.883170697475306 
13.774983786384405 0.0 65 10.883170697475306 
13.774983786384405 0.0 66 10.883170697475306 
13.774983786384405 0.0 67 10.883170697475306 
13.774983786384405 0.0 68 10.883170697475306 
13.774983786384405 0.0 69 10.883170697475306 
13.774983786384405 0.0 70 10.883170697475306 
