#streetID congestion_degree
4079401 :
186143653 0.0
186143654 0.0
200691624 0.0
4079431 :
31236297 0.0
129102591 0.0
4079435 :
130536782 0.0
4079551 :
32539779 0.0
126957306 0.0
4245316 :
107292738 0.0
217556096 0.0
4245317 :
4245341 0.0
25650073 0.0014976659187167733
184686122 0.0
4245318 :
24609543 0.0
187776460 0.0
187776463 0.0
4245319 :
4245347 0.0
92559300 0.0
116260698 0.0
204003771 0.0
4245320 :
203738628 0.0
209185935 0.0
209185952 0.0
4245321 :
60575541 0.0
60575543 0.0
60615614 0.0
187776469 0.0
210312079 0.0
4245322 :
4245330 0.0
27446160 0.0
50773631 0.0
50807842 0.0
128244548 0.0
187776467 0.0
4245323 :
128244550 0.0
128244552 0.0
209185935 0.0
4245325 :
191566844 0.0
4245328 :
190525392 0.0
209185952 0.0
4245329 :
4245323 0.0
4245330 :
60575530 0.0
107292729 0.03597852580983277
107292733 0.0
187776467 0.0
217556091 0.0
4245332 :
209185935 0.0
217556096 0.0
4245333 :
50885098 0.0
191159412 0.0
4245334 :
50885098 0.0
243871035 0.0
4245337 :
8043411 0.0
27446160 0.0
60615624 0.0
160576516 0.0
4245341 :
4245317 0.0
25752479 0.0
4245345 :
34860538 0.0
60575529 0.0
60575535 0.0
60575540 0.0
128364580 0.011221413509757545
128364582 0.0
128364586 0.0
137309354 0.0
137309765 0.0
4245346 :
107292722 0.0019985998931261397
128648681 0.0020525956031762905
4245347 :
4245319 0.0
92559300 0.0
116260698 0.0
4245348 :
116260698 0.3992416648183372
187776458 6.169872092561897E-4
4245352 :
4247946 0.0
32454904 0.0
102290908 0.0011611808309648078
102290910 0.0
102290915 0.0
4247869 :
28214359 0.0
33686379 0.0
121996235 0.0
4247946 :
102290908 0.0
130410689 0.0012312193391173947
4247947 :
48599202 0.0
108570596 0.0035214699133537387
123632305 0.0
201478753 0.0
202304085 0.0
4247948 :
108564727 0.0
137470204 7.938523799244419E-4
4247949 :
51940146 0.0
4269924 :
23788417 0.0
23788756 0.0
185812467 0.0
4276749 :
108327333 0.0
108327346 0.0
108327348 0.0
252131965 0.0
4367180 :
24251214 0.0
40712378 0.0
124347440 0.0
4367454 :
23502321 0.0
37825636 0.0
223956142 0.0
4367479 :
24900120 0.0
137470193 0.0
4904056 :
41643045 0.0
104118903 0.0
104118912 0.0
104118927 0.0
104118928 0.0
104118931 0.0
104118949 0.0
104118952 0.0
104118954 0.0
104118965 0.0
127717796 0.0
159712401 0.0
159712407 0.0
188519634 0.0
189536615 0.0
196574272 0.0
200143741 0.0
200621441 0.0
207299114 0.0
212428994 0.0
212505276 0.0
212517351 0.0
4949503 :
103775341 0.0
124048536 0.0
143488753 0.0
4949520 :
24026433 0.0
27854013 0.0
59738060 0.0
69716262 0.0
4949527 :
24199447 0.0
28282166 0.0
32665708 0.0
4949528 :
24200141 0.0
28039447 0.0
55222290 0.0012558633830587877
4949529 :
147123468 0.0
4949535 :
23173724 0.0
27854192 6.025995518546487E-4
33189949 0.0
201039132 0.0
4949596 :
22880422 0.0
23173245 0.0
95598362 0.0
121400796 0.0
4949652 :
28160064 0.0
4949723 :
99368264 0.0
99369058 0.22178190018612656
122157081 0.0026080856227837243
4949729 :
13280362 0.0
107254160 0.0
107254181 0.0
184686129 0.0
4950229 :
28604181 0.0
202564602 0.0
4950835 :
23173177 0.0
95598361 0.0
139456621 0.003582482846485297
4951067 :
24877400 0.0
49305053 0.001234426681895719
4951069 :
28867436 0.0
35408714 0.0
46249888 0.0
49305051 0.0010703055322644098
184555066 0.0
4951070 :
122110665 0.0
144962191 0.0
144962194 0.0
4951071 :
22978823 9.194149149445606E-4
22978893 0.0
22978903 0.0
23607570 0.0
26665282 0.0
27434104 0.0
130405508 0.0
4951111 :
33240264 0.0
33240273 0.0
121963415 0.0
140516418 0.0
4951284 :
33654265 0.0
33654268 0.0
164595130 0.0
4951285 :
4951284 0.0
33654265 0.0
4951286 :
22955833 0.0
139584781 0.0
190598703 0.0
4951292 :
28867513 0.001668332543122984
28867563 0.0
36779393 0.0
4951293 :
4951292 0.006389318692551946
4951338 :
33684610 0.0
33684611 0.0
190598719 0.0015580601904055416
4951339 :
22956072 0.0
135930645 0.0
4951340 :
32504840 0.0
49074919 0.0
97165981 0.009667843664267579
116237739 6.713825119463753E-4
147124638 0.0
4951346 :
33734275 0.0
134605391 0.0
134605396 0.0
4951376 :
53178658 0.0
108865099 0.0
4951377 :
32454220 0.0
109937960 0.0
203858800 0.0011549836648283584
203858806 0.0
4951382 :
22690669 0.0
26785322 0.0
124909763 6.145129874226064E-4
4951389 :
22951403 0.0
24695045 0.0
190598716 0.0
4951429 :
